区域名,后缀
百仕达,/ershoufang/baishida/
布心,/ershoufang/buxin/
春风路,/ershoufang/chunfenglu/
翠竹,/ershoufang/cuizhu/
地王,/ershoufang/diwang/
东门,/ershoufang/dongmen/
洪湖,/ershoufang/honghu/
黄贝岭,/ershoufang/huangbeiling/
黄木岗,/ershoufang/huangmugang/
莲塘,/ershoufang/liantang/
罗湖口岸,/ershoufang/luohukouan/
螺岭,/ershoufang/luoling/
清水河,/ershoufang/qingshuihe/
笋岗,/ershoufang/sungang/
万象城,/ershoufang/wanxiangcheng/
新秀,/ershoufang/xinxiu/
银湖,/ershoufang/yinhu/
八卦岭,/ershoufang/bagualing/
百花,/ershoufang/baihua/
车公庙,/ershoufang/chegongmiao/
赤尾,/ershoufang/chiwei/
福田保税区,/ershoufang/futianbaoshuiqu/
福田中心,/ershoufang/futianzhongxin/
皇岗,/ershoufang/huanggang/
黄木岗,/ershoufang/huangmugang/
华强北,/ershoufang/huaqiangbei/
华强南,/ershoufang/huaqiangnan/
景田,/ershoufang/jingtian/
莲花,/ershoufang/lianhua/
梅林,/ershoufang/meilin/
上步,/ershoufang/shangbu/
上下沙,/ershoufang/shangxiasha/
沙尾,/ershoufang/shawei/
石厦,/ershoufang/shixia/
香梅北,/ershoufang/xiangmeibei/
香蜜湖,/ershoufang/xiangmihu/
新洲,/ershoufang/xinzhou1/
银湖,/ershoufang/yinhu/
园岭,/ershoufang/yuanling/
竹子林,/ershoufang/zhuzilin/
白石洲,/ershoufang/baishizhou/
大学城,/ershoufang/daxuecheng3/
红树湾,/ershoufang/hongshuwan/
后海,/ershoufang/houhai/
华侨城,/ershoufang/huaqiaocheng1/
科技园,/ershoufang/kejiyuan/
南山中心,/ershoufang/nanshanzhongxin/
南头,/ershoufang/nantou/
前海,/ershoufang/qianhai/
蛇口,/ershoufang/shekou/
深圳湾,/ershoufang/shenzhenwan/
西丽,/ershoufang/xili1/
梅沙,/ershoufang/meisha/
沙头角,/ershoufang/shatoujiao/
盐田港,/ershoufang/yantiangang/
宝安中心,/ershoufang/baoanzhongxin/
碧海,/ershoufang/bihai1/
翻身,/ershoufang/fanshen/
福永,/ershoufang/fuyong/
沙井,/ershoufang/shajing/
石岩,/ershoufang/shiyan/
松岗,/ershoufang/songgang/
桃源居,/ershoufang/taoyuanju/
曦城,/ershoufang/xicheng1/
新安,/ershoufang/xinan/
西乡,/ershoufang/xixiang/
坂田,/ershoufang/bantian/
布吉大芬,/ershoufang/bujidafen/
布吉关,/ershoufang/bujiguan/
布吉街,/ershoufang/bujijie/
布吉南岭,/ershoufang/bujinanling/
布吉石芽岭,/ershoufang/bujishiyaling/
布吉水径,/ershoufang/bujishuijing/
丹竹头,/ershoufang/danzhutou/
大运新城,/ershoufang/dayunxincheng/
横岗,/ershoufang/henggang/
龙岗宝荷,/ershoufang/longgangbaohe/
龙岗双龙,/ershoufang/longgangshuanglong/
龙岗中心城,/ershoufang/longgangzhongxincheng/
民治,/ershoufang/minzhi/
坪地,/ershoufang/pingdi/
平湖,/ershoufang/pinghu/
坂田,/ershoufang/bantian/
观澜,/ershoufang/guanlan/
红山,/ershoufang/hongshan6/
龙华新区,/ershoufang/longhuaxinqu/
龙华中心,/ershoufang/longhuazhongxin/
梅林关,/ershoufang/meilinguan/
民治,/ershoufang/minzhi/
上塘,/ershoufang/shangtang/
石岩,/ershoufang/shiyan/
公明,/ershoufang/gongming/
光明,/ershoufang/guangming1/
罗湖区,/ershoufang/luohuqu/
福田区,/ershoufang/futianqu/
南山区,/ershoufang/nanshanqu/
盐田区,/ershoufang/yantianqu/
宝安区,/ershoufang/baoanqu/
龙岗区,/ershoufang/longgangqu/
龙华区,/ershoufang/longhuaqu/
光明区,/ershoufang/guangmingqu/
坪山区,/ershoufang/pingshanqu/
大鹏新区,/ershoufang/dapengxinqu/
坪山,/ershoufang/pingshan/
大鹏半岛,/ershoufang/dapengbandao/
